# Molecule : Dinitrogen
# Comment  : 
# code     : Dalton
# method   : CC3(Full),d-aug-cc-pVQZ
# geom     : CC3,aug-cc-pVTZ 
# set      : QUEST#1,0

# Initial state            Final state                        Transition                    Energies (eV)   %T1    Oscillator strength    unsafe
#######################  #######################  ########################################  ############# ####### ##################### #############
# Number  Spin  Symm       Number  Spin  Symm         type                                    E_abs         %T1            f            is unsafe
  1       1     \Sigma_g   1       1     \Pi_g        (\mathrm{V}; n \rightarrow \pi^\star)   9.32          _              _            false
  1       1     \Sigma_g   1       1     \Sigma_u^-   (\mathrm{V}; \pi \rightarrow \pi^\star) 9.87          _              _            false
  1       1     \Sigma_g   1       1     \Delta_u     (\mathrm{V}; \pi \rightarrow \pi^\star) 10.27         _              _            false
  1       1     \Sigma_g   1       1     \Sigma_g^+   (\mathrm{R}; n \rightarrow \sigma^\star) 12.28         _              _            false
  1       1     \Sigma_g   1       1     \Pi_u        (\mathrm{R})                            12.90         _              _            false
  1       1     \Sigma_g   1       1     \Sigma_u^+   (\mathrm{R}; n \rightarrow \sigma^\star) 12.96         _              _            false
  1       1     \Sigma_g   2       1     \Pi_u        (\mathrm{R})                            13.31         _              _            false
  1       1     \Sigma_g   1       3     \Sigma_u^+   (\mathrm{V}; \pi \rightarrow \pi^\star) 7.70          _              _            false
  1       1     \Sigma_g   1       3     \Pi_g        (\mathrm{V}; n \rightarrow \pi^\star)   8.03          _              _            false
  1       1     \Sigma_g   1       3     \Delta_u     (\mathrm{V}; \pi \rightarrow \pi^\star) 8.86          _              _            false
  1       1     \Sigma_g   1       3     \Sigma_u^-   (\mathrm{V}; \pi \rightarrow \pi^\star) 9.67          _              _            false
