# Molecule : Cyclopropenethione
# Comment  : 
# code     : CFOUR
# method   : CCSDT,aug-cc-pVDZ
# geom     : CC3,aug-cc-pVTZ 
# set      : QUEST#3,0

# Initial state            Final state                        Transition                    Energies (eV)   %T1    Oscillator strength    unsafe
#######################  #######################  ########################################  ############# ####### ##################### #############
# Number  Spin  Symm       Number  Spin  Symm         type                                    E_abs         %T1            f            is unsafe
  1       1     A_1        1       1     A_2          (n \rightarrow \pi^\star)               3.45          _              _            false
  1       1     A_1        1       1     B_1          (n \rightarrow \pi^\star)               3.42          _              _            false
  1       1     A_1        1       1     B_2          (\pi \rightarrow \pi^\star)             4.64          _              _            false
  1       1     A_1        2       1     B_2          (n \rightarrow 3s)                      5.21          _              _            false
  1       1     A_1        2       1     A_1          (\pi \rightarrow \pi^\star)             5.50          _              _            false
  1       1     A_1        3       1     B_2          (n \rightarrow 3p)                      5.84          _              _            false
  1       1     A_1        1       3     A_2          (n \rightarrow \pi^\star)               3.32          _              _            false
  1       1     A_1        1       3     B_1          (n \rightarrow \pi^\star)               3.30          _              _            false
  1       1     A_1        1       3     B_2          (\pi \rightarrow \pi^\star)             4.02          _              _            false
  1       1     A_1        1       3     A_1          (\pi \rightarrow \pi^\star)             4.07          _              _            false
